feature,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
boltz_rosetta_side1_score,1,0.8689959568941287,0.7236885040160642,0.653056685307575,0.7398085863072349,0.7081287447816401,0.5365436062065276
boltz_rosetta_A_BC_side1_score,1,0.8689959568941287,0.7236885040160642,0.653056685307575,0.7398085863072349,0.7081287447816401,0.5365436062065276
esmfold_end_C_B_pdockq2_max,1,0.868138226563248,0.7490502296810949,0.7265356529209622,0.7562010952889626,0.7441221084565793,0.5190883805991948
esmfold_z_axis_displacement_end,1,0.8656382265632481,0.7280552294015343,0.5969179553264605,0.7141625394695412,0.7059387963824824,0.549613279315206
boltz_singleaascorewithoutseq_proteinmpnn,1,0.8655767949439476,0.7250383007697981,0.7511787944437364,0.7137748118806885,0.7046452959853857,0.6146076458752515
esmfold_end_C_B_lis_score_max,1,0.8654852532797089,0.7113551626012672,0.6915002147766323,0.727890435790818,0.7139196285953965,0.5889140070359034
esmfold_z_axis_displacement_end_glycine_linker,1,0.8650026333429092,0.7266279990230093,0.6828823024054983,0.7148070001971638,0.7123740246607141,0.5147512668436226
esmfold_z_axis_displacement_start,1,0.8646421047591687,0.7516089447617702,0.7483354810996563,0.7391081722917201,0.7175796646786408,0.5821384574353243
longest_dup_substr_len,1,0.8645097194292828,0.8049476338874518,0.7779209621993127,0.7874677401793307,0.7475767343514782,0.46280750327029807
esmfold_z_axis_displacement_middle,1,0.8634860672220627,0.7331373466463028,0.7032323883161512,0.7146657485308356,0.6980182944346767,0.5859739138165332
global_id,1,0.86292181365508,0.721966694034177,0.565990120274914,0.7185325128965714,0.700147090932074,0.5427297781277384
num_cysteines,1,0.8627851192186153,0.7007966005432303,0.7679338487972509,0.6701361607208544,0.6669309706852368,0.5680793507664562
esmfold_start_glycine_linker_A_B_lis_score,1,0.8624200421334866,0.6975286843878654,0.6623711340206185,0.6986969533781219,0.677198607232737,0.535776425913461
boltz_rosetta_A_B_per_residue_energy_int,1,0.8606806667057901,0.7112512550200804,0.6915671072699543,0.7202026511643967,0.6904906108146358,0.5700642054574638
boltz_plddt_binder_none,1,0.8592444699798907,0.7079121532345161,0.7787263745704467,0.6994252822826268,0.6722084324473403,0.5798905243907085
esmfold_z_axis_displacement_middle_glycine_linker,1,0.8588841807909604,0.6970740305868712,0.6529746563573884,0.6930277588951765,0.6823611542041577,0.5342841539770634
esmfold_start_glycine_linker_A_B_lis_score_max,1,0.8582002298190174,0.6939900358720379,0.6902920962199313,0.6940032782157559,0.6719398191241195,0.5321632227993751
esmfold_z_axis_displacement_start_glycine_linker,1,0.857888058986881,0.7291558153016753,0.6777276632302406,0.719438877755511,0.7002734972018249,0.5041339107684883
chai1_plddt_binder_none,1,0.857722876568036,0.7155912412195904,0.6643578178694158,0.6923215005635354,0.6901495041426782,0.42022377728952615
esmfold_start_glycine_linker_A_B_pdockq2,1,0.8561723163841808,0.6869215670695281,0.6642235824742267,0.6853677987399174,0.6651325542110524,0.5311535579573019
esmfold_start_glycine_linker_A_B_pdockq2_max,1,0.8546198410418461,0.6814495363708327,0.6635792525773196,0.681037552344042,0.6601035956838005,0.5348493122848905
esmfold_end_C_B_ipSAE_d0chn_max,1,0.8529962654409652,0.6677186973065072,0.642665378006873,0.6676539569594403,0.6533825168637455,0.5117476726907886
