features,n_features,roc_auc_leah_12k_detected
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker')",2,0.9094841665710275
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'gravy_score')",3,0.9094400254252999
"('dna_sequence_entropy', 'esm2_full_LL_target', 'boltz_rosetta_complex_normalized')",3,0.9092381107757566
"('dna_sequence_entropy', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9092381107757566
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'boltz_rosetta_complex_normalized')",3,0.9091810098702994
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9091810098702994
"('dna_sequence_entropy', 'boltz_sap_score', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9091585090361445
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esm2_full_LL_car_target')",3,0.9091192664330129
"('dna_sequence_entropy', 'esm2_pll', 'boltz_rosetta_side1_normalized')",3,0.9090763940063865
"('dna_sequence_entropy', 'esm2_pll', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9090763940063865
"('dna_sequence_entropy', 'longest_dup_substr_len', 'boltz_rosetta_A_B_complex_normalized')",3,0.9090611067400998
"('dna_sequence_entropy', 'max_pident_cross_team_hamming')",2,0.9090103849402182
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'esmfold_end_C_B_pdockq2')",3,0.9089780147666848
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'seq_kl_vs_human')",3,0.908916217162666
"('dna_sequence_entropy', 'esmfold_plddt_binder_end', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9088809042460839
"('dna_sequence_entropy', 'seq_kl_vs_human', 'boltz_rosetta_A_B_complex_normalized')",3,0.9088644112247574
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'boltz_rosetta_complex_normalized')",3,0.9088587976180766
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9088587976180766
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esm2_full_LL_car_target')",3,0.9088514768155987
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esm2_full_LL_car_target')",3,0.9087926219546287
"('dna_sequence_entropy', 'boltz_rosetta_A_B_complex_normalized', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9087613802405305
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esm2_full_LL_car_target')",3,0.9086925686909797
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'gravy_score')",3,0.9085218895941662
"('dna_sequence_entropy', 'esmfold_plddt_binder_end', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9084571492470992
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esmfold_end_C_B_pdockq2')",3,0.9084512637610023
"('dna_sequence_entropy', 'aa_sequence_entropy', 'esm2_full_LL_alone')",3,0.9083718096986926
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'esmfold_end_C_B_pdockq2')",3,0.9083188403238194
"('dna_sequence_entropy', 'gravy_score', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9082688136919949
"('dna_sequence_entropy', 'seq_kl_vs_human', 'boltz_sap_score')",3,0.9082580321285141
"('dna_sequence_entropy', 'esmfold_plddt_binder_end_glycine_linker')",2,0.9082217298032187
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9082158443171218
"('dna_sequence_entropy', 'total_duplicated_residues', 'boltz_sap_score')",3,0.908210968875502
"('dna_sequence_entropy', 'aa_sequence_entropy', 'gravy_score')",3,0.908164346313773
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esm2_full_LL_alone')",3,0.9081569894561516
"('dna_sequence_entropy', 'longest_dup_substr_len', 'boltz_sap_score')",3,0.9080791917670684
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'boltz_rosetta_complex_normalized')",3,0.9080430703972592
