feature,roc_auc_leah_12k_detected
boltz_rosetta_A_BC_side2_normalized,0.516730565298964
esmfold_end_C_A_pdockq2_max,0.51600557944082
esmfold_end_C_A_pdockq2,0.515865799146016
chai1_A_B_ipSAE_d0chn_max,0.5156892345631057
chai1_A_B_ipSAE_max,0.5156686353617661
chai1_A_C_ipSAE_max,0.5131731892566337
chai1_A_C_ipSAE_d0chn_max,0.5131673037705368
esmfold_end_C_A_lis_score,0.5125301999005353
chai1_A_B_lis_score,0.512231511481112
boltz_angle_Nterm_deg,0.512164282128514
esmfold_end_glycine_linker_C_A_lis_score,0.5118224701973698
esmfold_end_glycine_linker_C_B_ipSAE_d0chn,0.5107719109290535
chai1_A_C_lis_score,0.5105276632560275
chai1_n_hs_engaged_none,0.5103069575273895
esmfold_start_A_B_pdockq,0.5090386352734839
esmfold_start_A_B_pdockq_max,0.5090386352734839
chai1_A_C_ipSAE,0.5079321638872459
chai1_A_C_ipSAE_d0chn,0.5079292211441974
esmfold_start_glycine_linker_A_C_ipSAE_max,0.5078821372554213
esmfold_start_glycine_linker_A_C_ipSAE_d0chn_max,0.5078821372554213
chai1_A_B_ipSAE_d0chn,0.507758542047384
chai1_A_B_ipSAE,0.5077379428460446
max_pident_cross_team_mmseqs,0.5074348403120484
boltz_hs_pde,0.5065225648025933
boltz_hs_pae,0.5058381561579856
boltz_rosetta_A_C_delta_unsatHbonds,0.5046216114457832
esmfold_end_glycine_linker_C_A_pdockq_max,0.504467083947631
esmfold_end_glycine_linker_C_A_pdockq,0.504467083947631
boltz_rosetta_A_C_side2_normalized,0.502450430228208
esmfold_start_A_C_lis_score,0.5024012783275803
esmfold_start_glycine_linker_A_C_ipSAE,0.5022673835188732
esmfold_start_glycine_linker_A_C_ipSAE_d0chn,0.5022673835188732
esmfold_middle_glycine_linker_B_A_lis_score,0.5012727363684786
esmfold_middle_B_A_lis_score_max,0.5007400998766991
boltz_rosetta_A_C_iptm,0.5007279116465864
esmfold_middle_glycine_linker_B_A_lis_score_max,0.5005385219778764
boltz_rosetta_A_BC_iptm,0.5000690261044176
esmfold_end_C_A_ipSAE,0.5
boltz_rosetta_A_BC_dG_cross/dSASAx100,0.5
boltz_rosetta_A_C_sc_value,0.5
boltz_rosetta_A_C_dG_cross,0.5
boltz_rosetta_A_C_dG_cross/dSASAx100,0.5
boltz_rosetta_dG_cross,0.5
boltz_rosetta_A_B_sc_value,0.5
boltz_rosetta_A_BC_sc_value,0.5
esmfold_end_C_A_ipSAE_d0chn,0.5
esmfold_start_A_C_ipSAE_d0chn,0.5
esmfold_start_A_C_ipSAE_max,0.5
esmfold_start_A_C_ipSAE,0.5
esmfold_middle_glycine_linker_B_A_ipSAE_d0chn_max,0.5
esmfold_middle_glycine_linker_B_A_ipSAE_max,0.5
esmfold_middle_glycine_linker_B_A_ipSAE_d0chn,0.5
esmfold_start_A_C_ipSAE_d0chn_max,0.5
esmfold_end_glycine_linker_C_A_ipSAE,0.5
boltz_rosetta_total_score,0.5
boltz_rosetta_A_BC_dG_cross,0.5
esmfold_end_glycine_linker_C_A_ipSAE_max,0.5
esmfold_end_glycine_linker_C_A_ipSAE_d0chn_max,0.5
boltz_rosetta_sc_value,0.5
esmfold_middle_glycine_linker_B_A_ipSAE,0.5
boltz_rosetta_dG_cross/dSASAx100,0.5
boltz_rosetta_A_B_dG_cross/dSASAx100,0.5
boltz_rosetta_A_B_dG_cross,0.5
esmfold_end_glycine_linker_C_A_ipSAE_d0chn,0.5
ubiquitin_pident,0.5
boltz_rosetta_A_B_iptm,0.4998462600401606
boltz_rosetta_A_B_delta_unsatHbonds,0.49858182730923695
esmfold_middle_B_A_lis_score,0.49843004658362244
esmfold_middle_B_A_ipSAE,0.4980680891886563
esmfold_middle_B_A_ipSAE_d0chn,0.4980680891886563
esmfold_middle_B_A_ipSAE_d0chn_max,0.4976046071585168
esmfold_middle_B_A_ipSAE_max,0.4976046071585168
esmfold_plddt_hotspot_end_glycine_linker,0.48956061903542764
esmfold_end_glycine_linker_C_B_ipSAE,0.48923397455704354
esmfold_middle_glycine_linker_B_A_pdockq2_max,0.4886395404612455
esmfold_middle_glycine_linker_B_C_pdockq,0.48738887466563074
esmfold_middle_glycine_linker_B_C_pdockq_max,0.48738887466563074
esmfold_middle_glycine_linker_B_A_pdockq2,0.48693716360768524
boltz_z_axis_displacement_none,0.4812900396976037
esmfold_end_glycine_linker_C_A_pdockq2_max,0.47715107159988107
esmfold_end_glycine_linker_C_A_pdockq2,0.47574002630812284
boltz_rosetta_A_B_side2_normalized,0.4687581956464726
boltz_plddt_hotspot_none,0.46530064534355053
amina_solubility,0.4418984812503126
esmfold_middle_B_C_pdockq2_max,0.4274687407119673
esmfold_middle_B_C_pdockq2,0.423955105512052
