features,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9343423433656272,0.9043641406313732,0.8496432212028542,0.9093400766783588,0.8661866162151584,0.6779742765273312
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9343134156851479,0.9143073224275277,0.7666451890034365,0.9096636738969863,0.8668941979522184,0.7592425608656447
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9342936642431902,0.9025002039318053,0.836221542643561,0.9085773717268946,0.8679929215663889,0.6783494105037513
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'boltz_rosetta_side1_normalized')",3,0.9342936642431902,0.9025002039318053,0.836221542643561,0.9085773717268946,0.8679929215663889,0.6783494105037513
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'boltz_sap_score')",3,0.9342858878411339,0.9133691014056223,0.8053507880020335,0.9122598304334588,0.8664965066730116,0.7542937399678973
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9342743943311309,0.9143750055176431,0.765893470790378,0.9096401319525983,0.8669344181289573,0.7574137339818896
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'esm2_full_LL_car')",3,0.9342535669826679,0.9133303317354239,0.7802298109965636,0.9085748589690394,0.868270302570644,0.7642591346092789
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esmfold_plddt_binder_end')",3,0.9342023908886204,0.9042173097316257,0.8354570166496772,0.9088914267069093,0.8664598046091367,0.6957842086459449
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esmfold_plddt_binder_end')",3,0.9342023908886204,0.9042173097316257,0.8354570166496772,0.9088914267069093,0.8664598046091367,0.6957842086459449
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'max_pident_cross_team_hamming')",3,0.9342020970985347,0.9125652185428125,0.8464347079037801,0.909207548724468,0.8642109375897773,0.7687804010718957
"('dna_sequence_entropy', 'esm2_full_LL_target', 'max_pident_cross_team_hamming')",3,0.9341788758019726,0.912556390313667,0.845897766323024,0.9092046059814195,0.864414911343239,0.7666213693341293
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'aa_sequence_entropy')",3,0.9341719664370972,0.9073578595317726,0.8370710159700985,0.9116404274410637,0.8641193547860976,0.7117363344051447
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'aa_sequence_entropy')",3,0.9341719664370972,0.9073578595317726,0.8370710159700985,0.9116404274410637,0.8641193547860976,0.7117363344051447
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9341652302978071,0.9137864569079421,0.7908612542955327,0.9099285207713518,0.8672734167614713,0.7385158561830859
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_plddt_binder_middle')",3,0.9341429665804846,0.9152813703765829,0.8038552405498283,0.9110408776436868,0.8666787327196883,0.7537941807744574
