features,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Detected (Down),roc_auc_4class_Detected (Not Sig),roc_auc_4class_Detected (Up),roc_auc_4class_Not Detected
"('num_disulfide_within_chain', 'boltz_rosetta_A_BC_complex_normalized')",2,0.8994485399136689,0.8248715229627213,0.8454383282364935,0.7910801950646682,0.5775008931761343,0.8073007586263153
"('aa_sequence_entropy', 'seq_kl_vs_human', 'num_disulfide_within_chain')",3,0.8982011873982574,0.8479528807983072,0.8327695446735395,0.7904140954482253,0.6046177878814818,0.8250951241690428
"('esm2_full_LL_target',)",1,0.8980386383223212,0.8468567090127392,0.7733569587628866,0.7910446903620965,0.6988277727682598,0.8323489857836084
"('aa_sequence_entropy', 'num_disulfide_within_chain')",2,0.8973934693095853,0.8474908701396919,0.8280981529209621,0.7914583836085543,0.5782395001206518,0.8237164490508183
"('aa_sequence_entropy', 'seq_kl_vs_human')",2,0.8968804462319258,0.8441773414670751,0.8243932560137458,0.7879060801415749,0.6095835608783449,0.8223495449047875
"('gravy_score', 'num_disulfide_within_chain')",2,0.8963829838169108,0.8260529870313313,0.7527920962199313,0.8008871421840704,0.578156948907149,0.819078686006374
"('aa_sequence_entropy',)",1,0.8958667289093173,0.8454338927487869,0.8217622422680412,0.7913721975155422,0.5937464280724927,0.8230881734099623
"('boltz_rosetta_A_BC_complex_normalized',)",1,0.8956478498194986,0.8232971694265437,0.8259004417261299,0.7892901994683019,0.5196141479099678,0.8049942899094543
"('seq_kl_vs_human', 'num_disulfide_within_chain')",2,0.8949468543521976,0.848841589198956,0.8045801116838488,0.7911466772388274,0.5730705241367047,0.8251274943425765
"('seq_kl_vs_human',)",1,0.8894314373264388,0.8422733867146923,0.7563627577319587,0.7867483136254467,0.5634183822502191,0.8201277739031659
"('gravy_score',)",1,0.8850742123910754,0.7917862156030122,0.613831615120275,0.7730246147481643,0.5667458311637181,0.7861729332379885
"('num_disulfide_within_chain',)",1,0.8185552523221296,0.5810313725836401,0.6739153780068728,0.568253639925995,0.5151449726310977,0.5758477307036982
