autoregwithoutseq_proteinmpnn,autoregwithoutseq_solublempnn,autoregwithseq_proteinmpnn,autoregwithseq_solublempnn,singleaascorewithoutseq_proteinmpnn,singleaascorewithoutseq_solublempnn,singleaascorewithseq_proteinmpnn,singleaascorewithseq_solublempnn,global_id
0.1426502615213394,0.1607731282711029,0.3641846776008606,0.3409644961357116,0.3917594850063324,0.3717522025108337,0.3314136862754822,0.3086868226528168,116
0.112741515,0.15563545,0.3281586,0.3214875,0.3532272,0.3456469,0.29985026,0.29051036,117
0.1350556910037994,0.1630317419767379,0.3425337970256805,0.3510994613170624,0.3648197054862976,0.3705691695213318,0.3243520855903625,0.3378247618675232,118
0.12219435,0.14545976,0.33674306,0.3161477,0.3574513,0.3416047,0.3203547,0.2964663,119
0.12742758,0.1562027,0.3346755,0.32693523,0.3578329,0.3481109,0.3149857,0.30599496,120
0.136857271194458,0.1714438796043396,0.3674390912055969,0.3394036889076233,0.3924347162246704,0.3543203473091125,0.346404492855072,0.326297789812088,121
0.1357144862413406,0.1712716668844223,0.3682401776313782,0.3547925353050232,0.3916472792625427,0.3803476691246032,0.3399311006069183,0.3216912150382995,122
0.13020678,0.13268058,0.34252763,0.32988542,0.36416385,0.35684127,0.32353416,0.30396923,123
0.1411547064781189,0.1541965901851654,0.33429816365242,0.3106437921524048,0.3479501605033874,0.3217979669570923,0.3163732290267944,0.300670325756073,124
0.1168044358491897,0.1426210701465606,0.3209581971168518,0.3142222166061401,0.3396036028861999,0.3416659533977508,0.3034085035324096,0.2864745259284973,125
0.13324751,0.16901723,0.34093922,0.3313331,0.35569042,0.34961465,0.3255309,0.31302553,126
0.136857658624649,0.1583500206470489,0.3729116916656494,0.3522851467132568,0.395889937877655,0.3818244338035583,0.350235641002655,0.3270726799964905,127
0.1334322392940521,0.1748693883419037,0.3919122517108917,0.3838716149330139,0.4186109900474548,0.4084704518318176,0.3543664515018463,0.350242555141449,128
0.13400231,0.16595623,0.33954054,0.3378327,0.36200517,0.35976213,0.32116348,0.31978872,129
0.14083786,0.16966867,0.3528984,0.34417838,0.3834833,0.36865178,0.32995242,0.32327813,130
0.1456658095121383,0.1681285202503204,0.3855040669441223,0.3760882019996643,0.4146247506141662,0.410113662481308,0.3547299206256866,0.3373233377933502,131
0.13773912,0.17115887,0.39464188,0.37750974,0.43264508,0.41905546,0.35869217,0.33905286,132
