SequenceID,logFC,logCPM,LR,PValue,FDR,2-fold threshold?,Significant
128,-0.639354315,7.314447465,7.284009344,0.006957109,0.029444558,Not Sig,False
129,-0.224732871,8.301108776,1.018388028,0.312901679,0.466749571,Not Sig,False
130,-0.274601357,7.495140233,1.465063828,0.226126128,0.37746777,Not Sig,False
131,-0.442088995,7.513985922,1.671205977,0.196097082,0.34017452,Not Sig,False
132,-0.460659158,7.239904375,3.966280268,0.04642021,0.120040724,Not Sig,False
133,-0.389144646,8.538383314,2.484287297,0.114988426,0.233889891,Not Sig,False
134,-0.330042202,8.869971054,1.81580198,0.177813792,0.316681438,Not Sig,False
135,0.060656726,7.727528719,0.061958928,0.803426143,0.879303845,Not Sig,False
136,0.410276442,6.257828854,3.028202429,0.081828627,0.182156244,Not Sig,False
137,0.772149646,7.442036496,9.480996515,0.002076112,0.011798686,Not Sig,False
139,-0.397631892,8.146270242,2.986175403,0.083978296,0.185547376,Not Sig,False
140,-0.832647502,8.363428175,12.06393062,0.000514068,0.004078185,Not Sig,False
141,-0.689996998,9.025802705,7.174750897,0.007393671,0.030832605,Not Sig,False
142,0.052123401,8.81346132,0.029348687,0.863976412,0.918969054,Not Sig,False
143,-0.468587339,7.586020246,3.624054509,0.056949923,0.140101023,Not Sig,False
144,0.015740445,10.41720867,0.003741537,0.951225329,0.971326275,Not Sig,False
145,-0.513603426,8.663492287,5.085569121,0.024125757,0.073624762,Not Sig,False
146,-0.459367081,7.394560063,4.029665112,0.044706815,0.116851643,Not Sig,False
147,-0.495519383,8.073443807,3.305233755,0.069059519,0.161431068,Not Sig,False
148,-0.575051886,8.456323522,3.963945359,0.046484632,0.120161716,Not Sig,False
149,0.112957923,7.450324435,0.228864371,0.632367162,0.753049605,Not Sig,False
150,-0.674812418,7.496247151,8.191389211,0.004208968,0.020027869,Not Sig,False
151,-0.293397593,4.80325654,0.750693295,0.386256818,0.540109575,Not Sig,False
152,-0.069601045,6.76466674,0.086237219,0.769016391,0.855683233,Not Sig,False
153,0.197192758,7.311925384,0.681093205,0.409210537,0.563874742,Not Sig,False
154,-1.034721443,7.673026433,14.21328571,0.000163214,0.001642749,Down,False
155,-0.434367631,7.237750811,2.987066683,0.083932079,0.185505413,Not Sig,False
156,-0.023620856,6.152712342,0.007956679,0.928922791,0.957157099,Not Sig,False
157,-0.019896209,8.770673677,0.00755809,0.930721369,0.95787892,Not Sig,False
158,0.177173719,7.459321564,0.596110031,0.440066086,0.592665312,Not Sig,False
159,-0.526902224,7.846432038,3.997454605,0.045569033,0.118378722,Not Sig,False
160,-0.997390407,7.110788055,16.52068098,4.81223E-05,0.00060949,Not Sig,False
161,-0.092715111,7.700200125,0.144880659,0.703476392,0.809287542,Not Sig,False
162,-0.833913542,7.309572699,10.74297274,0.00104676,0.006999633,Not Sig,False
163,-0.371312445,5.428904719,2.08226171,0.149019231,0.280579452,Not Sig,False
164,-0.471415699,7.466654469,4.031710997,0.044652633,0.116844353,Not Sig,False
165,-0.512568456,7.651271468,3.532407302,0.060180353,0.146002877,Not Sig,False
166,0.573942342,8.027885957,5.678355403,0.01717546,0.057623625,Not Sig,False
167,-0.268754301,8.278854157,1.129579961,0.287864952,0.443079237,Not Sig,False
168,-0.313600644,9.398527378,1.425233218,0.232543958,0.383669378,Not Sig,False
169,-0.426255967,6.836428182,3.10697336,0.077957703,0.175953558,Not Sig,False
170,0.411197139,8.599570533,2.710078991,0.099716054,0.209672785,Not Sig,False
171,-0.595921662,7.555762375,6.339155939,0.011810107,0.043593753,Not Sig,False
172,-0.771739119,8.257740151,8.310098656,0.003942525,0.019120545,Not Sig,False
173,-0.388757867,7.462920368,2.492885371,0.11436189,0.23289358,Not Sig,False
174,0.518997828,5.484474599,3.811656674,0.050897086,0.128687474,Not Sig,False
175,-0.629310563,5.861004973,5.006133474,0.025257659,0.076220412,Not Sig,False
176,-1.257279954,7.21628758,24.69324328,6.72194E-07,1.5217E-05,Down,False
177,-0.02089926,7.737973899,0.004629064,0.945756004,0.967334346,Not Sig,False
178,0.033015463,7.468054771,0.017611544,0.894423926,0.936910781,Not Sig,False
179,-0.104878713,5.405970883,0.119127672,0.729982532,0.828464519,Not Sig,False
180,-0.609565944,7.038534446,5.517980076,0.01882198,0.060985721,Not Sig,False
181,-0.768172723,4.518229109,6.722640376,0.009519659,0.037088025,Not Sig,False
182,-0.248309411,6.87620358,1.145316287,0.284531766,0.44033601,Not Sig,False
183,-0.640817172,7.427428662,7.297815433,0.00690385,0.029320079,Not Sig,False
184,-0.132402508,6.579868506,0.255739902,0.613062123,0.738648245,Not Sig,False
185,0.023249485,6.927964351,0.010234679,0.919418219,0.951970179,Not Sig,False
186,0.003869404,5.768491148,0.000268527,0.98692581,0.992607006,Not Sig,False
187,0.006192188,4.299284701,0.000402983,0.983984,0.991257685,Not Sig,False
188,0.280657096,4.181313806,0.788161798,0.374656537,0.528333949,Not Sig,False
189,-0.277332004,4.83614291,0.94090628,0.332044878,0.485318276,Not Sig,False
190,-0.119954912,6.209066313,0.241930944,0.62281495,0.745452498,Not Sig,False
191,-0.276686528,5.037587892,1.033344085,0.30937453,0.464027746,Not Sig,False
