feature_combo,n_features,n_dna_detected,n_leah_detected,n_3class,auc_dna_detected,auc_leah_detected,auc_3class_avg,auc_3class_down,auc_3class_notsig,auc_3class_up
boltz_rosetta_A_BC_dG_separated/dSASAx100,1,12000,11796,6811,0.4908063301617697,0.49228093913218146,0.5001492048286672,0.5263183660148495,0.4894937647018427,0.4846354837693093
boltz_rosetta_A_BC_dSASA_hphobic,1,12000,11796,6811,0.5607637849985705,0.6178262581018639,0.5418815691564922,0.49103502044294567,0.5640126476839522,0.5705970393425788
boltz_rosetta_A_BC_dSASA_int,1,12000,11796,6811,0.5542731334649832,0.6287267469712028,0.5387357917736152,0.4902154894974934,0.5592868383760872,0.5667050474472648
boltz_rosetta_A_BC_dSASA_polar,1,12000,11796,6811,0.5482730520149734,0.6319696131412885,0.530111151216953,0.48806603388724196,0.5471345368348074,0.5551328829288097
boltz_rosetta_side2_normalized,1,12000,11796,6811,0.4927854407276644,0.536397829518507,0.49073168732873623,0.48671797800683547,0.4960615362178942,0.489415547761479
boltz_rosetta_side2_score,1,12000,11796,6811,0.5746131955664598,0.6336624320178271,0.554523618055882,0.5562738538805334,0.541761913966273,0.5655350863208395
boltz_angle_Cterm_deg,1,12000,11796,6811,0.46118034361930604,0.5158563047827964,0.5141469344401665,0.5284415313624702,0.49681319414785163,0.5171860778101776
boltz_angle_Nterm_deg,1,12000,11796,6811,0.46102284589658177,0.5223666595145884,0.5467164909670589,0.6007823619534571,0.5082353467696167,0.5311317641781029
closest_ab_pident,1,12000,11796,6811,0.5653463869440621,0.6222046553697209,0.5447583953888012,0.5518543700762417,0.5444035676793071,0.538017248410855
ubiquitin_pident,1,12000,11796,6811,0.49817547822791375,0.5002349141095288,0.49907561350488744,0.4981941309255079,0.4996837307388258,0.49934897885032836
max_pident_within_team_hamming,1,12000,11796,6811,0.5152409174928025,0.5586647035512646,0.5202693083990388,0.5812641083521445,0.46873853415418665,0.5108052826907854
max_pident_cross_team_hamming,1,12000,11796,6811,0.7499308090479325,0.8286404066111122,0.6339822245347427,0.7816670746190179,0.4683473209418284,0.6519322780433818
max_pident_within_team_mmseqs,1,12000,11796,6811,0.5609964993118305,0.7009500973924563,0.558249186153165,0.6331357030832132,0.4775871288538263,0.5640247265224556
max_pident_cross_team_mmseqs,1,12000,11796,6811,0.5316983906142992,0.5203233397152256,0.5254490341330433,0.5291209986673556,0.5246951411241862,0.5225309626075882
esmfold_start_A_C_ipSAE_d0chn,1,12000,11796,6811,0.49800530588634234,0.4998664176349339,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
esmfold_start_A_B_ipSAE_d0chn_max,1,12000,11796,6811,0.5064141882592303,0.591190426366458,0.5083200088256891,0.5318180169889489,0.4838409459797827,0.5093010635083355
esmfold_start_A_C_ipSAE_d0chn_max,1,12000,11796,6811,0.4980479009168943,0.5001271911461885,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
esmfold_start_A_B_lis_score,1,12000,11796,6811,0.4720109093145565,0.6470958168883394,0.527029609100666,0.5678524481673873,0.5017827400897475,0.5114536390448631
esmfold_start_A_C_lis_score,1,12000,11796,6811,0.49785050931189706,0.4989234330505833,0.4994367685019217,0.5001813121560735,0.49886609898311574,0.4992628943665758
esmfold_start_A_B_lis_score_max,1,12000,11796,6811,0.5102778692012581,0.6104135781297791,0.5018801471068993,0.5247577216314467,0.49994087433452283,0.48094184535472834
esmfold_start_A_C_lis_score_max,1,12000,11796,6811,0.5146749230380521,0.5198793561715834,0.5105792676054811,0.5112830554724542,0.5105637212632869,0.5098910260807021
esmfold_start_A_B_pdockq,1,12000,11796,6811,0.5278775124834606,0.5024643155718809,0.5682620134555075,0.5899815968161586,0.5405601100644035,0.5742443334859605
esmfold_start_A_C_pdockq,1,12000,11796,6811,0.48892903210792626,0.6275540761176498,0.572029997895172,0.6101629996283101,0.5357433456137244,0.5701836484434814
esmfold_start_A_B_pdockq_max,1,12000,11796,6811,0.5278775124834606,0.5024643155718809,0.5682620134555075,0.5899815968161586,0.5405601100644035,0.5742443334859605
amina_solubility,1,12000,11796,6811,0.5321178997200778,0.51156916646283,0.5037049860551085,0.5336809993926044,0.49690086988997034,0.48053308888275087
boltz_z_axis_displacement_none,1,12000,11796,6811,0.5040729160433247,0.4808114550670069,0.4921888944883856,0.49073222914230286,0.4920179387076152,0.49381651561523876
boltz_binder_below_membrane_none,1,12000,11796,6811,0.46640664997772596,0.5395570649696851,0.5045119423982658,0.49137362089441283,0.5096469358630245,0.5125152704373601
boltz_plddt_binder_none,1,12000,11796,6811,0.5135244416518727,0.70694327881604,0.6020630281566671,0.6948153788970782,0.527972323401379,0.5834013821715442
